1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0,0,0,0,0,0,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13
0,0,0,0,0,0,1,2,2,3,4,1,2,3,4,1,2,3,4,1,2,3,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,1,2,3,1,2,3,1,2,3,1
date,Order,Sales ,Inquiry(Mail),Inquiry(Tel),Inquiry(Visit),TV_cost,TV_GRP,YouTube_GooglePreferred_IMP,YouTube_GooglePreferred_Click,YouTube_GooglePreferred_View,YouTube_GooglePreferred_Cost,YouTube_BumperAds_IMP,YouTube_BumperAds_Click,YouTube_BumperAds_View,YouTube_BumperAds_Cost,FBIG_LinkAD_IMP,FBIG_LinkAD_Click,FBIG_LinkAD_View,FBIG_LinkAD_Cost,TW_WebSite_card_IMP,TW_WebSite_card_Click,TW_WebSite_card_Cost,YouTube_Trueview_IMP,YouTube_Trueview_Click,YouTube_Trueview_View,YouTube_Trueview_Cost,TrueView_Movie_IMP,TrueView_Movie_Click,TrueView_Movie_View,TrueView_Movie_Cost,LINE_ADS_Platform_Movie_IMP,LINE_ADS_Platform_Movie_Click,LINE_ADS_Platform_Movie_View,LINE_ADS_Platform_Movie_Cost,Twitter_Movie_IMP,Twitter_Movie_Click,Twitter_Movie_View,Twitter_Movie_Cost,Twitter_Pic_Intkey_IMP,Twitter_Pic_Intkey_Click,Twitter_Pic_Intkey_Cost,Twitter_Pic_handle_IMP,Twitter_Pic_handle_Click,Twitter_Pic_handle_Cost,Facebook_Pic_IMP,Facebook_Pic_Click,Facebook_Pic_Cost,Instagram_Pic_IMP,Instagram_Pic_Click,Instagram_Pic_Cost
日付,注文数,売り上げ,問い合わせ(メール,問い合わせ(電話),問い合わせ(訪問),テレビコスト,テレビGRP,Youtubeインプレッション,Youtubeクリック,Youtubeビュー,Youtubeコスト,Youtube BA インプレッション,Youtube BA クリック,Youtube BA ビュー,Youtube BA コスト,FBIGインプレッション,FBIGクリック,FBIGビュー,FBIGコスト,TW WC インプレッション,TW WC クリック,TW WC コスト,YouTube_TrV インプレッション,YouTube_TrV クリック,YouTube_TrV ビュー,YouTube_TrV コスト,TrueView インプレッション,TrueView クリック,TrueView ビュー,TrueView コスト,LINE AD インプレッション,LINE AD クリック,LINE AD ビュー,LINE AD コスト,TW MV インプレッション,TW MV クリック,TW MV ビュー,TW MV コスト,TW PI インプレッション,TW PI クリック,TW PI コスト,TW PH インプレッション,TW PH クリック,TW PH コスト,FBP インプレッション,FBP クリック,FBP コスト,IGP インプレッション,IGP クリック,IGP コスト
20170403,1703,5108000,10,152,8,0,7,4,0,0,0,0,0,0,0,0,3,0,45,0,0,0,0,0,0,0,0,6,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170404,1705,5116000,18,187,116,0,12,5,0,0,0,0,0,0,0,0,6,0,90,0,0,0,0,0,0,0,0,10,0,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170405,1707,5121000,23,167,140,0,14,4,0,0,0,0,0,0,0,0,9,0,135,0,0,0,0,0,0,0,0,14,0,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170406,1710,5131000,33,54,44,0,20,3,0,0,0,0,0,0,0,0,13,0,195,0,0,0,0,0,0,0,0,18,0,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170407,1712,5136000,38,698,293,0,22,5,0,0,0,0,0,0,0,0,16,0,240,0,0,0,0,0,0,0,0,20,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
